pathway_id	gene_id
mmu00230	mmu:230718
mmu00230	mmu:231327
mmu00230	mmu:231903
mmu00230	mmu:234889
mmu00230	mmu:237823
mmu00230	mmu:238871
mmu00230	mmu:239134
mmu00230	mmu:23917
mmu00230	mmu:23918
mmu00230	mmu:23959
mmu00230	mmu:23971
mmu00230	mmu:23972
mmu00230	mmu:23984
mmu00230	mmu:241489
mmu00230	mmu:242202
mmu00230	mmu:245650
mmu00230	mmu:271639
mmu00230	mmu:27369
mmu00230	mmu:29863
mmu00230	mmu:328099
mmu00230	mmu:382985
mmu00230	mmu:432530
mmu00230	mmu:50773
mmu00230	mmu:53893
mmu00230	mmu:54195
mmu00230	mmu:54369
mmu00230	mmu:54611
mmu00230	mmu:56248
mmu00230	mmu:56520
mmu00230	mmu:60596
mmu00230	mmu:633979
mmu00230	mmu:66355
mmu00230	mmu:66358
mmu00230	mmu:66401
mmu00230	mmu:66566
mmu00230	mmu:66681
mmu00230	mmu:667034
mmu00230	mmu:66763
mmu00230	mmu:67054
mmu00230	mmu:67464
mmu00230	mmu:68695
mmu00230	mmu:68870
mmu00230	mmu:69692
mmu00230	mmu:70881
mmu00230	mmu:72090
mmu00230	mmu:72157
mmu00230	mmu:73532
mmu00230	mmu:73707
mmu00230	mmu:74167
mmu00230	mmu:75456
mmu00230	mmu:75686
mmu00230	mmu:76025
mmu00230	mmu:76952
mmu00230	mmu:76974
mmu00230	mmu:78600
mmu00230	mmu:78801
mmu00230	mmu:79059
mmu00230	mmu:94041
mmu00232	mmu:13077
mmu00232	mmu:17960
mmu00232	mmu:17961
mmu00232	mmu:17962
mmu00232	mmu:22262
mmu00232	mmu:22436
mmu00240	mmu:100862375
mmu00240	mmu:103149
mmu00240	mmu:103850
mmu00240	mmu:107569
mmu00240	mmu:110074
mmu00240	mmu:12495
mmu00240	mmu:12497
mmu00240	mmu:12499
mmu00240	mmu:13178
mmu00240	mmu:171567
mmu00240	mmu:18102
mmu00240	mmu:18103
mmu00240	mmu:18605
mmu00240	mmu:20133
mmu00240	mmu:20135
mmu00240	mmu:209558
mmu00240	mmu:215446
mmu00240	mmu:21877
mmu00240	mmu:21915
mmu00240	mmu:22169
mmu00240	mmu:22171
mmu00240	mmu:22245
mmu00240	mmu:22247
mmu00240	mmu:22271
mmu00240	mmu:230718
mmu00240	mmu:23959
mmu00240	mmu:320685
mmu00240	mmu:382985
mmu00240	mmu:50773
mmu00240	mmu:51797
mmu00240	mmu:54369
mmu00240	mmu:55936
mmu00240	mmu:56520
mmu00240	mmu:56749
mmu00240	mmu:57813
mmu00240	mmu:633979
mmu00240	mmu:64705
mmu00240	mmu:66401
mmu00240	mmu:66422
mmu00240	mmu:66588
mmu00240	mmu:66763
mmu00240	mmu:67464
mmu00240	mmu:68106
mmu00240	mmu:68556
mmu00240	mmu:69692
mmu00240	mmu:69719
mmu00240	mmu:70881
mmu00240	mmu:72090
mmu00240	mmu:72269
mmu00240	mmu:72962
mmu00240	mmu:76025
mmu00240	mmu:76654
mmu00240	mmu:76952
mmu00240	mmu:79059
mmu00240	mmu:80914
mmu00240	mmu:99586
mmu00250	mmu:100328588
mmu00250	mmu:100470
mmu00250	mmu:108653
mmu00250	mmu:108682
mmu00250	mmu:109900
mmu00250	mmu:11484
mmu00250	mmu:11564
mmu00250	mmu:11565
mmu00250	mmu:11566
mmu00250	mmu:11611
mmu00250	mmu:11898
mmu00250	mmu:14204
mmu00250	mmu:14415
mmu00250	mmu:14417
mmu00250	mmu:14583
mmu00250	mmu:14584
mmu00250	mmu:14645
mmu00250	mmu:14660
mmu00250	mmu:14661
mmu00250	mmu:14718
mmu00250	mmu:14719
mmu00250	mmu:194237
mmu00250	mmu:212647
mmu00250	mmu:214579
mmu00250	mmu:216456
mmu00250	mmu:227231
mmu00250	mmu:231327
mmu00250	mmu:268782
mmu00250	mmu:268860
mmu00250	mmu:269642
mmu00250	mmu:27053
mmu00250	mmu:52633
mmu00250	mmu:53320
